i_id,i_n,j_id,j_n,alpha
1,29,1,24,-.0077512711
1,29,2,27,-.06479755
1,29,3,25,-.06479755
1,29,4,17,.13520245
1,29,5,19,-.06479755
1,29,6,19,-.06479755
1,29,7,22,-.26479757
1,29,8,29,-.06479755
1,29,9,25,.13520245
1,29,10,23,-.26479757
1,29,11,26,-.06479755
1,29,12,24,-.26479757
1,29,13,26,-.06479755
1,29,14,18,-.06479755
1,29,15,20,.13520245
1,29,16,19,.13520245
1,29,17,21,.13520245
1,29,18,28,-.51060468
1,29,19,22,-.11060469
1,29,20,22,-.51060468
1,29,21,23,-.51060468
1,29,22,26,-.31060469
1,29,23,20,-.11060469
1,29,24,20,-.31060469
1,29,25,31,-.51060468
1,29,26,25,-.31060469
1,29,27,27,-.51060468
1,29,28,30,-.51060468
1,29,29,22,-.51060468
1,29,30,26,-.31060469
1,29,31,29,-.31060469
1,29,32,41,-.11060469
1,29,33,30,-.11060469
1,29,34,20,-.51060468
1,29,35,24,-.31060469
1,29,36,38,-.11060469
1,29,37,27,-.31060469
1,29,38,24,-.31060469
1,29,39,23,-.31060469
1,29,40,29,-.31060469
1,29,41,43,-.11060469
1,29,42,37,-.11060469
1,29,43,18,-.31060469
1,29,44,18,-.31060469
1,29,45,10,-.51060468
1,29,46,19,-.31060469
1,29,47,17,-.31060469
1,29,48,13,-.51060468
1,29,49,40,-.11060469
1,29,50,30,-.31060469
1,29,51,19,-.31060469
1,29,52,13,-.51060468
1,29,53,11,-.51060468
1,29,54,29,-.31060469
1,29,55,40,-.11060469
1,29,56,7,-.51060468
1,29,57,25,-.31060469
1,29,58,8,-.51060468
1,29,59,3,-.51060468
1,29,60,32,-.31060469
1,29,61,14,-.31060469
1,29,62,34,-.11060469
1,29,63,31,-.11060469
1,29,64,9,-.51060468
1,29,65,35,-.31060469
1,29,66,21,-.31060469
1,29,67,17,-.51060468
1,29,68,12,-.51060468
1,29,69,7,-.51060468
1,29,70,33,-.11060469
1,29,71,17,-.31060469
1,29,72,22,-.31060469
1,29,73,41,-.11060469
2,29,1,24,-.56479752
2,29,2,27,.8893953
2,29,3,25,1.2893953
2,29,4,17,.83520246
2,29,5,19,.33520246
2,29,6,19,.33520246
2,29,7,22,-.56479752
2,29,8,29,.33520246
2,29,9,25,.83520246
2,29,10,23,-.56479752
2,29,11,26,.33520246
2,29,12,24,-.56479752
2,29,13,26,-.06479755
2,29,14,18,.33520246
2,29,15,20,.83520246
2,29,16,19,.83520246
2,29,17,21,.83520246
2,29,18,28,-.81060469
2,29,19,22,.58939528
2,29,20,22,-.81060469
2,29,21,23,-.81060469
2,29,22,26,-.31060469
2,29,23,20,.58939528
2,29,24,20,.089395314
2,29,25,31,-.81060469
2,29,26,25,.089395314
2,29,27,27,-.81060469
2,29,28,30,-.81060469
