i_id,i_n,j_id,j_n,alpha
1,27,1,23,-.06479755
1,27,2,41,-.31060469
1,27,3,30,-.31060469
1,27,4,24,-.31060469
1,27,5,19,-.31060469
1,27,6,12,-.31060469
2,31,1,23,-.46479756
2,31,2,41,-.01060468
2,31,3,30,-.01060468
2,31,4,24,-.31060469
2,31,5,19,-.31060469
2,31,6,12,-.71060467
3,43,1,23,-.81060469
3,43,2,41,.58939528
3,43,3,30,.58939528
3,43,4,24,-.31060469
3,43,5,19,-.06479755
3,43,6,12,-.56479752
4,26,1,23,-.71060467
4,26,2,41,-.01060468
4,26,3,30,-.01060468
4,26,4,24,-.31060469
4,26,5,19,-.06479755
4,26,6,12,-.46479756
1,27,0,,0
2,31,0,,0
3,43,0,,0
4,26,0,,0
0,,1,23,0
0,,2,41,0
0,,3,30,0
0,,4,24,0
0,,5,19,0
0,,6,12,0
