i_id,i_n,j_id,j_n,alpha,mu
1,29,1,23,-.26479757,2.1996437913069897
1,29,2,22,-.11060469,2.1727650696518013
1,29,3,25,-.31060469,2.0679889400478086
1,29,4,41,-.11060469,3.3487155340074133
1,29,5,30,-.11060469,2.7061103012711234
1,29,6,24,-.31060469,2.137498427372706
1,29,7,38,-.11060469,3.1818139919624406
1,29,8,27,-.31060469,2.179437871392268
1,29,9,19,-.31060469,1.773513014026526
1,29,10,13,-.51060468,1.2246926852665303
1,29,11,32,-.31060469,2.0781293506408067
1,29,12,12,-.51060468,1.1591690715113105
2,27,1,23,-.06479755,2.603623679618055
2,27,2,22,-.31060469,1.7239347534114957
2,27,3,25,-.31060469,2.00408049966026
2,27,4,41,-.31060469,2.656967920277486
2,27,5,30,-.31060469,2.1471063117163243
2,27,6,24,-.31060469,2.0714418889750346
2,27,7,38,-.31060469,2.5245434015165107
2,27,8,27,-.31060469,2.1120852504062886
2,27,9,19,-.31060469,1.7187049594288861
2,27,10,13,-.31060469,1.4496159753489728
2,27,11,32,-.31060469,2.0139075343868127
2,27,12,12,-.31060469,1.3720584963137399
3,31,1,23,-.46479756,1.770355860317152
3,31,2,22,-.01060468,2.3605289499379922
3,31,3,25,-.01060468,2.7441235975391036
3,31,4,41,-.01060468,3.6381015479038163
3,31,5,30,-.01060468,2.939964286566702
3,31,6,24,-.31060469,2.1012267047206454
3,31,7,38,-.01060468,3.456776872130385
3,31,8,27,-.01060468,2.892011062747586
3,31,9,19,-.31060469,1.743417847012224
3,31,10,13,-.71060467,0.9856786271566631
3,31,11,32,-.01060468,2.7575794431957728
3,31,12,12,-.71060467,0.9329427641686902
4,24,1,23,-.06479755,2.337366789803844
4,24,2,22,-.31060469,1.5476383441879826
4,24,3,25,-.31060469,1.7991352746824596
4,24,4,41,-.31060469,2.3852558367197756
4,24,5,30,-.31060469,1.927534699607652
4,24,6,24,-.31060469,1.8596080210059602
4,24,7,38,-.31060469,2.26637357476667
4,24,8,27,-.31060469,1.8960950310063234
4,24,9,19,-.31060469,1.5429433696921826
4,24,10,13,-.31060469,1.3013724929890211
4,24,11,32,-.31060469,1.8079573578398311
4,24,12,12,-.31060469,1.2317463495424938
5,43,1,23,-.81060469,1.097557674098043
5,43,2,22,.58939528,3.7682083616635165
5,43,3,25,.089395314,2.6569416702430324
5,43,4,41,.58939528,5.807649456598388
5,43,5,30,.58939528,4.693184554217721
5,43,6,24,-.31060469,1.8408644791295097
5,43,7,38,.58939528,5.518193502481273
5,43,8,27,.089395314,2.800130690289873
5,43,9,19,-.06479755,1.9530037539859786
5,43,10,13,-.56479752,0.9990966124588437
5,43,11,32,1.2893953,8.86461251648161
5,43,12,12,-.56479752,0.9456428592630739
6,26,1,23,-.71060467,1.128211095732313
6,26,2,22,-.01060468,1.9234982531024893
6,26,3,25,-.01060468,2.2360738029933658
6,26,4,41,-.01060468,2.964539779182236
6,26,5,30,-.01060468,2.3956563504731876
6,26,6,24,-.31060469,1.712203485582598
6,26,7,38,-.01060468,2.8167857357066275
6,26,8,27,-.01060468,2.3565812345975172
6,26,9,19,-.06479755,1.816505165286226
6,26,10,13,-.46479756,1.0270000774031607
6,26,11,32,.23520246,2.8731823015559126
6,26,12,12,-.46479756,0.9720534306174815
1,29,0,,0,2.7705219515422774
2,27,0,,0,2.601929328940134
3,31,0,,0,2.6772924366032704
4,24,0,,0,2.0969728581558083
5,43,0,,0,2.0549138690891278
6,26,0,,0,1.777709287766883
0,,1,23,0,11.863241109123603
0,,2,22,0,8.503426268044722
0,,3,25,0,11.491656214833972
0,,4,41,0,20.198769925310884
0,,5,30,0,13.190443496147287
0,,6,24,0,12.277156993213545
0,,7,38,0,18.235512921436094
0,,8,27,0,12.763658859560143
0,,9,19,0,8.451911890567976
0,,10,13,0,6.012543529376808
0,,11,32,0,11.604631495899257
0,,12,12,0,5.3863870285832105
