i_id,i_n,j_id,j_n,alpha,mu
1,29,1,25,-.06479755,0.8719331868566347
1,29,2,17,.13520245,0.6027302104041682
1,29,3,19,-.06479755,0.6944227898928738
1,29,4,23,-.26479757,1.0217092044235174
1,29,5,26,-.06479755,1.157989533738274
1,29,6,18,-.06479755,0.673631162925564
1,29,7,28,-.51060468,1.0634949121633932
1,29,8,22,-.11060469,0.6372703829976539
1,29,9,20,-.11060469,0.58005186944304
1,29,10,25,-.31060469,0.7517570304153086
1,29,11,26,-.31060469,0.9393855916853626
1,29,12,41,-.11060469,1.114594310323154
1,29,13,30,-.11060469,0.8097254787583158
1,29,14,24,-.31060469,0.869559618066525
1,29,15,38,-.11060469,1.0901031290351024
1,29,16,27,-.31060469,0.8103142090438483
1,29,17,18,-.31060469,0.6551459522057489
1,29,18,40,-.11060469,1.124031699625554
1,29,19,19,-.31060469,0.6905553128411568
1,29,20,13,-.51060468,0.5057162400906405
1,29,21,7,-.51060468,0.2787536745413843
1,29,22,25,-.31060469,0.7049554542759775
1,29,23,8,-.51060468,0.31317753013280936
1,29,24,32,-.31060469,0.8480276156578616
1,29,25,34,-.11060469,0.964343303467987
1,29,26,9,-.51060468,0.35156274767572704
1,29,27,12,-.51060468,0.47185649228133975
1,29,28,7,-.51060468,0.27875367454138467
1,29,29,17,-.31060469,0.6196376411415474
1,29,30,22,-.31060469,0.7961978622006122
2,29,1,25,1.2893953,2.575865150587968
2,29,2,17,.83520246,0.9256579495086927
2,29,3,19,.33520246,0.7900656785712737
2,29,4,23,-.56479752,0.5772453146744554
2,29,5,26,-.06479755,0.8831329071077364
2,29,6,18,.33520246,0.7664104196891977
2,29,7,28,-.81060469,0.6008533697566463
2,29,8,22,.58939528,0.9787038416688993
2,29,9,20,.58939528,0.8908290862674808
2,29,10,25,.089395314,0.8552965620322115
2,29,11,26,-.31060469,0.716416085214584
2,29,12,41,.58939528,1.7117659356524932
2,29,13,30,.58939528,1.243556044500627
2,29,14,24,-.31060469,0.6631637774199117
2,29,15,38,.58939528,1.674152994814294
2,29,16,27,.089395314,0.9219188236632491
2,29,17,18,-.31060469,0.4996426414006745
2,29,18,40,.58939528,1.7262596410121198
2,29,19,19,-.31060469,0.52664735144829
2,29,20,13,-.81060469,0.28571956811965143
2,29,21,7,-.81060469,0.15749025478685938
2,29,22,25,.089395314,0.8020490025813242
2,29,23,8,-.81060469,0.17693904518131554
2,29,24,32,.089395314,0.9648264995670871
2,29,25,34,.58939528,1.481014214645043
2,29,26,9,-.81060469,0.1986259259043389
2,29,27,12,-.81060469,0.2665894873475163
2,29,28,7,-.81060469,0.15749025478685943
2,29,29,17,-.31060469,0.47256246747597325
2,29,30,22,-.31060469,0.6072149291438439
3,27,1,25,-.06479755,0.8234509171254274
3,27,2,17,.37014514,0.7199656618706174
3,27,3,19,-.06479755,0.65581066511705
3,27,4,23,-.06479755,1.1785302133483941
3,27,5,26,-.06479755,1.0936016175918637
3,27,6,18,-.06479755,0.6361751190077388
3,27,7,28,-.31060469,1.2267295260655484
3,27,8,22,-.31060469,0.4927417353056484
3,27,9,20,-.31060469,0.4484999967709151
3,27,10,25,-.31060469,0.7099569387680285
3,27,11,26,-.31060469,0.887152752834655
