i_id,i_n,j_id,j_n,start_mu_ij,alpha,mu
1,29,1,25,2.5236423,-.06479755,0.8719333269261332
1,29,2,17,2.5417986,.13520245,0.6027303437577104
1,29,3,19,2.2000604,-.06479755,0.6944228791936103
1,29,4,23,1.9818135,-.26479757,1.0217091511549345
1,29,5,26,2.5736201,-.06479755,1.1579895217515879
1,29,6,18,2.1413815,-.06479755,0.673631198495117
1,29,7,28,1.7101146,-.51060468,1.0634948380279472
1,29,8,22,2.2613893,-.11060469,0.6372706454488202
1,29,9,20,2.1561501,-.11060469,0.5800520941460139
1,29,10,25,1.9736725,-.31060469,0.7517571400417719
1,29,11,26,2.012759,-.31060469,0.9393855974583205
1,29,12,41,3.0871372,-.11060469,1.114594847517846
1,29,13,30,2.6407337,-.11060469,0.8097259435454895
1,29,14,24,1.9337963,-.31060469,0.8695596243261328
1,29,15,38,2.9720478,-.11060469,1.090103566885449
1,29,16,27,2.0511007,-.31060469,0.8103143266943198
1,29,17,18,1.6747167,-.31060469,0.6551459471626352
1,29,18,40,3.0492568,-.11060469,1.1240321801299105
1,29,19,19,1.7206079,-.31060469,0.6905553105388668
1,29,20,13,1.1652467,-.51060468,0.5057162053613947
1,29,21,7,.8550573,-.51060468,0.27875364981244527
1,29,22,25,1.9736725,-.31060469,0.7049556247582571
1,29,23,8,.91409469,-.51060468,0.3131775039514491
1,29,24,32,2.2329557,-.31060469,0.8480278461929855
1,29,25,34,2.8112757,-.11060469,0.9643437286262717
1,29,26,9,.96954387,-.51060468,0.35156271858086147
1,29,27,12,1.1195328,-.51060468,0.47185645677547117
1,29,28,7,.8550573,-.51060468,0.2787536498125726
1,29,29,17,1.6275321,-.31060469,0.6196376331588815
1,29,30,22,1.8514689,-.31060469,0.7961978659687678
2,29,1,25,9.7756643,1.2893953,2.5758645237763833
2,29,2,17,5.1185536,.83520246,0.9256576181428738
2,29,3,19,3.2821043,.33520246,0.7900656338361307
2,29,4,23,1.4681636,-.56479752,0.5772454544190168
2,29,5,26,2.5736201,-.06479755,0.8831330613979008
2,29,6,18,3.1945658,.33520246,0.7664104248167071
2,29,7,28,1.2668841,-.81060469,0.6008535097690263
2,29,8,22,4.5538788,.58939528,0.9787036078382744
2,29,9,20,4.3419528,.58939528,0.8908288788366325
2,29,10,25,2.9443734,.089395314,0.8552966430410267
2,29,11,26,2.012759,-.31060469,0.7164162409982017
2,29,12,41,6.2167306,.58939528,1.7117656736526237
2,29,13,30,5.3177848,.58939528,1.2435557304036966
2,29,14,24,1.9337963,-.31060469,0.6631639220146412
2,29,15,38,5.9849691,.58939528,1.6741527598519677
2,29,16,27,3.0598826,.089395314,0.9219189162062217
2,29,17,18,1.6747167,-.31060469,0.4996427503846641
2,29,18,40,6.1404486,.58939528,1.7262594140000567
2,29,19,19,1.7206079,-.31060469,0.5266474662204663
2,29,20,13,.86323595,-.81060469,0.2857196419456395
2,29,21,7,.63344204,-.81060469,0.15749029154810926
2,29,22,25,2.9443734,.089395314,0.802049070657012
2,29,23,8,.67717803,-.81060469,0.17693908852158347
2,29,24,32,3.3311784,.089395314,0.9648265896819997
2,29,25,34,5.6612139,.58939528,1.4810139576968384
2,29,26,9,.71825576,-.81060469,0.19862597520815184
2,29,27,12,.82937032,-.81060469,0.26658955477217683
2,29,28,7,.63344204,-.81060469,0.15749029154845284
2,29,29,17,1.6275321,-.31060469,0.47256257068414037
2,29,30,22,1.8514689,-.31060469,0.607215061154317
3,27,1,25,2.4350655,-.06479755,0.8234510220551076
3,27,2,17,3.1021183,.37014514,0.7199656728917551
3,27,3,19,2.1228409,-.06479755,0.6558107262623447
3,27,4,23,2.3356328,-.06479755,1.1785301321763968
3,27,5,26,2.4832895,-.06479755,1.0936015877031593
3,27,6,18,2.0662217,-.06479755,0.636175134612555
3,27,7,28,2.0154266,-.31060469,1.2267294346977948
3,27,8,22,1.7864847,-.31060469,0.4927420113751189
