i_id,i_n,j_id,j_n,alpha,mu
1,27,1,23,-.06479755,4.301991676575473
1,27,2,41,-.31060469,3.919046567553116
1,27,3,30,-.31060469,3.1025014452954425
1,27,4,24,-.31060469,3.2516819530736862
1,27,5,19,-.31060469,2.591367908786494
1,27,6,12,-.31060469,2.159058643275383
2,31,1,23,-.46479756,3.1797106985160175
2,31,2,41,-.01060468,5.833169714567511
2,31,3,30,-.01060468,4.61781128602372
2,31,4,24,-.31060469,3.5854518952294843
2,31,5,19,-.31060469,2.8573597030339224
2,31,6,12,-.71060467,1.5958148199316327
3,43,1,23,-.81060469,2.399238423002349
3,43,2,41,.58939528,11.333112821582668
3,43,3,30,.58939528,8.9718247289441
3,43,4,24,-.31060469,3.8230662874350925
3,43,5,19,-.06479755,3.895700205776305
3,43,6,12,-.56479752,1.968673352138913
4,26,1,23,-.71060467,2.1381106802555925
4,26,2,41,-.01060468,5.0153339778668435
4,26,3,30,-.01060468,3.9703740812363675
4,26,4,24,-.31060469,3.0827559622075476
4,26,5,19,-.06479755,3.1413248249974415
4,26,6,12,-.46479756,1.7544072432455393
1,27,0,,0,7.674351805440397
2,31,0,,0,9.330681882697714
3,43,0,,0,10.608384181120583
4,26,0,,0,6.897693230190674
0,,1,23,0,10.980948521650568
0,,2,41,0,14.899336918429853
0,,3,30,0,9.33748845850037
0,,4,24,0,10.257043902054187
0,,5,19,0,6.514247357405836
0,,6,12,0,4.522045941408534
